pid,Age_Years,Age_categories,Gender,Other_gender,Sex,Province,Nationality,GrowUp_Ireland,Area_Residence,Ethnicity,Ethnicity_Binary,Ethnic_Recode,Education,Education_Binary,Occupation,Occupation_Binary,Adults_household,Only_Adult_House,Children_household,Child_2,No_Child_House,Living_Alone,Income_2019,MH_therapy,Religious,Religion_Binary,Voted_GenElection,Voted_Binary,Authoritarianism1,Authoritarianism2,Authoritarianism3,Authoritarianism4,Authoritarianism5,Authoritarianism6,Social_Dominace1,Social_Dominance2,Social_Dominance3,Social_Dominance4,Social_Dominance5,Social_Dominance6,Social_Dominance7,Social_Dominance8,MigrantAttitudes1,MigrantAttitudes2,MigrantAttitudes3,IWAH1,IWAH2,IWAH3,IWAH4,IWAH5,IWAH6,IWAH7,IWAH8,IWAH9,Trust_Body1,Trust_Body2,Trust_Body3,Trust_Body4,Trust_Body5,Trust_Body6,Trust_Body7,ReligiousBelief1,ReligiousBelief2,ReligiousBelief3,ReligiousBelief4,ReligiousBelief5,ReligiousBelief6,ReligiousBelief7,ReligiousBelief8,Chronic_Illness_self,Chronic_illness_family,Pregnant,Conspiracy_1,Conspiracy_2,Conspiracy_3,Conspiracy_4,Conspiracy_5,INFO_1,INFO_2,INFO_3,INFO_4,INFO_5,INFO_6,INFO_7,INFO_8,INFO_9,TRUST_1,TRUST_2,TRUST_3,TRUST_4,TRUST_5,TRUST_6,TRUST_7,TRUST_8,TRUST_9,C19_Infected,C19_Infected_Binary,C19_SomeoneClose_Infected,C19_SomeoneClose_Infected_Binary,Vax_Self,Vax_Self_Yes,Vax_Self_Maybe,Vax_Self_No,Vax_Self_Binary,Paranoia1,Paranoia2,Paranoia3,Paranoia4,Paranoia5,LOC1,LOC2,LOC3,LOC4,LOC5,LOC6,LOC7,LOC8,LOC9,Personality1,Personality2,Personality3,Personality4,Personality5,Personality6,Personality7,Personality8,Personality9,Personality10,CRT1,CRT2,CRT3,Conspiracy,Paranoia,Authoritarianism,IdentificationOthers,SocialDominance,Sex,Pregnant
1078531383,64,5,2, ,1,2,0,0,3,1,0,0,3,0,22,0,3,0,1,0,1,0,1,1,1,1,1,0,5,3,4,3,4,4,3,1,1,3,2,3,3,1,6,5,4,5,5,4,5,5,4,5,5,5,3,4,5,4,3,4,5,3,5,2,3,1,4,2,4,0,0,0,7,8,6,6,7,4,4,4,4,4,1,1,4,2,3,3,3,4,2,4,4,4,2,2,0,1,0,1,0,1,0,1,2,1,2,1,2,4,4,4,2,3,4,2,4,6,3,5,1,2,4,5,2,5,4,4,5,5,5,34,8,23,43,17,1,0
1096038676,67,6,2, ,1,4,0,0,4,1,0,0,8,1,22,0,2,0,1,0,1,0,3,1,1,1,1,0,4,3,4,3,3,4,2,2,1,1,1,1,2,1,8,8,3,4,4,5,5,5,5,5,5,5,2,-99,3,4,1,4,4,3,3,3,2,2,4,3,3,0,0,0,9,8,8,6,8,1,4,4,3,2,1,1,1,1,2,2,3,2,1,3,3,3,3,2,0,1,0,0,1,0,0,0,1,1,1,1,1,2,1,2,1,1,1,3,1,1,4,5,5,5,2,2,3,4,1,5,5,1,1,39,5,21,43,11,1,0
1098181900,58,5,1, ,0,2,1,1,4,6,1,1,5,1,28,0,3,0,3,2,0,0,1,1,6,0,2,1,3,3,3,2,3,3,4,3,2,4,2,4,3,2,5,6,3,2,3,4,3,3,3,3,3,3,3,4,4,4,3,3,4,3,3,3,3,3,3,3,2,0,0,0,6,11,11,6,11,3,1,2,4,3,1,3,3,2,3,2,2,3,2,3,3,3,2,2,0,1,0,2,0,0,1,1,2,3,3,3,4,5,4,4,4,3,4,4,4,4,5,4,2,4,2,3,3,4,2,4,1,1,1,45,15,17,27,24,0,0
1106752451,60,5,1, ,0,2,0,0,1,1,0,0,5,1,18,0,2,0,3,2,0,0,4,1,1,1,1,0,2,4,3,2,2,4,4,2,2,3,2,4,4,1,6,6,2,4,4,4,3,3,3,4,4,4,3,3,4,3,3,4,4,3,3,3,3,3,3,3,3,1,1,1,9,7,9,9,9,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,0,1,0,1,0,1,0,1,4,5,4,4,3,5,4,4,4,4,3,5,3,4,4,4,3,3,3,3,3,4,4,4,5,1,7,43,20,17,33,22,0,1
1119277399,64,5,1, ,0,2,1,0,1,6,1,1,6,1,18,0,3,0,1,0,1,0,5,1,3,1,1,0,3,4,4,2,3,5,4,2,2,5,1,4,4,1,4,3,4,5,3,5,4,5,5,5,5,5,4,3,4,5,3,5,5,3,1,2,1,1,1,2,4,0,0,0,4,7,6,6,8,4,4,3,4,2,3,3,3,4,3,3,3,4,3,4,3,3,4,4,1,3,1,0,1,0,0,0,5,3,4,1,5,5,6,6,5,2,2,6,2,7,4,5,5,4,5,5,5,5,5,5,5,5,7,31,18,21,42,23,0,0
1229039778,56,5,1, ,0,1,0,0,4,1,0,0,2,0,21,1,2,0,1,0,1,0,1,2,1,1,1,0,4,3,2,1,2,2,1,1,2,2,2,1,1,1,10,9,3,3,4,4,4,4,4,4,4,4,2,2,3,1,1,4,4,1,4,3,1,1,4,3,3,1,0,0,7,9,10,5,6,4,3,4,2,1,1,3,3,2,3,3,3,1,1,3,3,3,2,2,0,4,1,0,1,0,0,0,1,3,3,2,3,2,2,4,2,3,2,2,4,2,4,3,1,4,3,4,2,4,2,4,5,5,5,37,12,14,35,11,0,0
1241900660,58,5,2, ,1,4,1,0,3,1,0,0,4,1,22,0,1,1,1,0,1,1,1,1,1,1,1,0,3,4,3,1,3,5,4,1,3,2,2,1,5,2,8,10,4,3,3,5,4,4,4,5,5,5,4,4,4,5,3,4,4,3,4,5,1,3,2,3,3,1,0,0,9,5,3,3,2,1,4,2,3,3,1,1,2,2,3,4,4,2,1,4,4,3,2,3,0,1,0,0,1,0,0,0,1,1,1,1,1,5,1,2,1,1,1,4,3,1,4,5,2,3,1,2,1,5,3,4,1,1,1,22,5,19,38,20,1,0
1276447778,49,4,2, ,1,1,0,0,2,1,0,0,8,1,27,0,2,0,3,2,0,0,1,1,1,1,1,0,5,2,4,1,2,5,1,2,2,1,1,2,4,1,7,6,4,3,3,3,5,4,3,5,4,3,3,3,4,4,2,3,5,2,2,2,2,2,4,2,4,0,0,0,11,9,9,11,9,4,4,4,4,1,1,1,4,3,4,4,4,4,2,4,4,4,3,2,0,1,0,0,1,0,0,0,1,1,1,1,2,2,1,6,1,1,1,2,3,1,1,5,1,4,1,5,2,5,1,4,5,5,5,49,6,19,33,14,1,0
1293554425,36,3,2, ,1,1,1,0,1,5,1,3,6,1,18,0,2,0,2,1,0,0,4,1,4,1,2,1,3,3,4,3,5,5,3,3,1,3,3,3,3,3,8,10,3,3,3,3,4,3,3,4,3,3,3,3,4,3,3,3,4,2,3,3,3,3,5,1,5,0,1,0,11,6,6,6,6,1,1,1,4,1,4,4,4,4,4,4,4,3,2,4,4,4,3,3,0,1,0,0,1,0,0,0,2,2,2,2,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,7,7,1,35,11,23,29,22,1,0
1294766710,66,6,1, ,0,2,0,0,4,1,0,0,3,0,22,0,5,0,1,0,1,0,3,1,1,1,1,0,4,3,4,2,3,4,3,2,2,2,1,1,3,1,7,6,3,3,3,3,3,3,3,4,4,4,2,2,2,2,2,4,5,3,2,3,3,3,3,3,3,0,0,0,6,6,6,6,6,3,4,3,3,2,1,2,2,2,2,4,3,2,1,4,4,4,2,2,0,1,0,1,0,1,0,1,2,2,3,1,1,5,3,4,2,3,1,4,6,5,1,4,4,4,4,4,3,4,2,2,5,1,5,30,9,20,30,15,0,0
