Sex,Education_Binary,Occupation_Binary,Authoritarianism1,Authoritarianism2,Authoritarianism3,Authoritarianism4,Authoritarianism5,Authoritarianism6,Social_Dominace1,Social_Dominance2,Social_Dominance3,Social_Dominance4,Social_Dominance5,Social_Dominance6,Social_Dominance7,Social_Dominance8,MigrantAttitudes1,MigrantAttitudes2,MigrantAttitudes3,IWAH1,IWAH2,IWAH3,IWAH4,IWAH5,IWAH6,IWAH7,IWAH8,IWAH9,Trust_Body1,Trust_Body2,Trust_Body3,Trust_Body4,Trust_Body5,Trust_Body6,Trust_Body7,Pregnant,Conspiracy_1,Conspiracy_2,Conspiracy_3,Conspiracy_4,Conspiracy_5,TRUST_1,TRUST_2,TRUST_3,TRUST_4,TRUST_5,TRUST_6,TRUST_7,TRUST_8,TRUST_9,C19_Infected_Binary,C19_SomeoneClose_Infected_Binary,Vax_Self,Vax_Self_Yes,Vax_Self_Maybe,Vax_Self_No,Vax_Self_Binary,Paranoia1,Paranoia2,Paranoia3,Paranoia4,Paranoia5,LOC1,LOC2,LOC3,LOC4,LOC5,LOC6,LOC7,LOC8,LOC9,Personality1,Personality2,Personality3,Personality4,Personality5,Personality6,Personality7,Personality8,Personality9,Personality10,CRT1,CRT2,CRT3,Trust_in_Irish_State,Conspiracy,Paranoia,Authoritarianism,IdentificationOthers,SocialDominance
1,0,0,5,3,4,3,4,4,3,1,1,3,2,3,3,1,6,5,4,5,5,4,5,5,4,5,5,5,3,4,5,4,3,4,5,0,7,8,6,6,7,3,3,3,4,2,4,4,4,2,0,0,1,0,1,0,1,2,1,2,1,2,4,4,4,2,3,4,2,4,6,3,5,5,4,2,5,4,5,4,4,5,5,5,28,34,8,23,43,17
1,1,0,4,3,4,3,3,4,2,2,1,1,1,1,2,1,8,8,3,4,4,5,5,5,5,5,5,5,2,-99,3,4,1,4,4,0,9,8,8,6,8,2,2,3,2,1,3,3,3,3,0,0,0,1,0,0,0,1,1,1,1,1,2,1,2,1,1,1,3,1,1,2,5,1,1,4,2,3,4,1,5,5,1,1,-99,39,5,21,43,11
0,1,0,3,3,3,2,3,3,4,3,2,4,2,4,3,2,5,6,3,2,3,4,3,3,3,3,3,3,3,4,4,4,3,3,4,0,6,11,11,6,11,3,2,2,3,2,3,3,3,2,0,0,2,0,0,1,1,2,3,3,3,4,5,4,4,4,3,4,4,4,4,1,4,4,2,4,3,3,4,2,4,1,1,1,25,45,15,17,27,24
0,1,0,2,4,3,2,2,4,4,2,2,3,2,4,4,1,6,6,2,4,4,4,3,3,3,4,4,4,3,3,4,3,3,4,4,1,9,7,9,9,9,3,3,3,3,3,3,3,3,3,0,0,1,0,1,0,1,4,5,4,4,3,5,4,4,4,4,3,5,3,4,2,4,3,3,3,3,3,4,4,4,5,1,7,24,43,20,17,33,22
0,1,0,3,4,4,2,3,5,4,2,2,5,1,4,4,1,4,3,4,5,3,5,4,5,5,5,5,5,4,3,4,5,3,5,5,0,4,7,6,6,8,3,3,3,4,3,4,3,3,4,1,1,0,1,0,0,0,5,3,4,1,5,5,6,6,5,2,2,6,2,7,2,5,1,2,1,5,1,5,5,5,5,5,7,29,31,18,21,42,23
0,0,1,4,3,2,1,2,2,1,1,2,2,2,1,1,1,10,9,3,3,4,4,4,4,4,4,4,4,2,2,3,1,1,4,4,0,7,9,10,5,6,3,3,3,1,1,3,3,3,2,0,1,0,1,0,0,0,1,3,3,2,3,2,2,4,2,3,2,2,4,2,2,3,5,2,3,4,4,4,2,4,5,5,5,17,37,12,14,35,11
1,1,0,3,4,3,1,3,5,4,1,3,2,2,1,5,2,8,10,4,3,3,5,4,4,4,5,5,5,4,4,4,5,3,4,4,0,9,5,3,3,2,3,4,4,2,1,4,4,3,2,0,0,0,1,0,0,0,1,1,1,1,1,5,1,2,1,1,1,4,3,1,2,5,4,3,5,2,5,5,3,4,1,1,1,28,22,5,19,38,20
1,1,0,5,2,4,1,2,5,1,2,2,1,1,2,4,1,7,6,4,3,3,3,5,4,3,5,4,3,3,3,4,4,2,3,5,0,11,9,9,11,9,4,4,4,4,2,4,4,4,3,0,0,0,1,0,0,0,1,1,1,1,2,2,1,6,1,1,1,2,3,1,5,5,5,2,5,5,4,5,1,4,5,5,5,24,49,6,19,33,14
1,1,0,3,3,4,3,5,5,3,3,1,3,3,3,3,3,8,10,3,3,3,3,4,3,3,4,3,3,3,3,4,3,3,3,4,0,11,6,6,6,6,4,4,4,3,2,4,4,4,3,0,0,0,1,0,0,0,2,2,2,2,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,7,7,1,23,35,11,23,29,22
0,0,0,4,3,4,2,3,4,3,2,2,2,1,1,3,1,7,6,3,3,3,3,3,3,3,4,4,4,2,2,2,2,2,4,5,0,6,6,6,6,6,2,4,3,2,1,4,4,4,2,0,0,1,0,1,0,1,2,2,3,1,1,5,3,4,2,3,1,4,6,5,5,4,2,2,2,4,3,4,2,2,5,1,5,19,30,9,20,30,15
0,1,1,1,3,1,1,2,4,3,1,1,3,1,3,3,1,8,10,3,4,4,4,5,5,5,5,5,5,1,1,3,3,3,4,4,1,6,8,8,8,9,3,3,3,2,2,4,4,3,3,0,0,0,1,0,0,0,3,3,4,3,3,5,4,3,3,3,3,3,3,5,5,4,4,3,4,5,3,5,2,5,5,5,1,19,39,16,12,42,16
1,0,0,3,4,4,2,3,5,2,2,2,2,1,1,4,4,8,8,4,5,5,5,5,5,5,4,4,4,4,4,5,4,4,4,4,0,4,3,6,3,6,3,4,4,3,2,4,4,4,3,0,0,0,1,0,0,0,1,1,1,1,1,3,4,3,2,2,2,4,2,5,2,5,3,2,4,3,3,4,1,4,5,5,5,29,22,5,21,42,18
0,1,0,4,4,2,1,4,5,4,1,1,1,1,4,3,3,9,7,5,1,1,1,5,3,3,5,4,3,4,4,4,1,3,4,5,0,11,8,6,6,11,2,2,2,4,1,4,3,4,3,0,0,0,1,0,0,0,1,3,3,1,3,4,5,5,4,4,2,4,1,4,2,5,5,2,2,5,2,4,4,2,1,6,5,25,42,11,20,26,18
0,0,0,4,3,2,2,4,5,2,4,2,2,1,1,2,2,8,8,4,5,5,4,5,5,5,5,5,5,4,4,4,4,3,4,4,0,8,8,5,5,4,4,4,4,2,1,4,4,4,3,0,0,0,1,0,0,0,1,2,2,1,3,5,5,3,5,2,2,3,2,3,2,5,5,2,4,4,4,4,2,4,1,1,1,27,30,9,20,44,16
0,1,0,4,3,1,1,5,5,1,1,1,1,1,1,1,1,1,1,5,5,4,3,5,4,3,5,4,3,4,4,4,4,4,5,4,0,9,9,5,2,2,3,3,3,3,1,4,3,3,3,0,0,0,1,0,0,0,1,3,2,3,5,2,1,1,1,2,1,2,2,3,2,3,4,2,2,4,2,4,2,4,1,5,1,29,27,14,19,36,8
