V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25
0,0.243475638,-0.098029913,0.085945793,0.032615209,0,0,0.051656398,0.144739382,0.209460886,0,0.103006389,0,-0.052730613,-0.069276766,0,0,0,0,-0.059561455,0,0,-0.073030613,-0.099016593,0
0.243475638,0,0,0,0,0,0.134009558,0,0.126556287,-0.245271465,0,-0.059131679,0,-0.052940127,0,0,-0.15618667,0,0,0,0.045636671,0,0,0,-0.076862587
-0.098029913,0,0,-0.131812465,-0.079622196,0,0,0.046901402,-0.033681896,0,-0.052301488,0,-0.038890493,0,-0.081268114,0,0,-0.246999165,0,0,0.139256892,0,0.123005102,0,0
0.085945793,0,-0.131812465,0,0.090645124,0.057293374,-0.105392154,0.058246477,-0.268899892,0.110220133,0,0,0,0,0,0,0,0,0,-0.068470849,0,-0.040077581,0,0,0
0.032615209,0,-0.079622196,0.090645124,0,0.179149544,0,0.218737934,0,-0.057159255,-0.193923417,0,0.222028941,0,0,0,0,0.104069603,0,0,0.08516513,0,-0.039154601,0,0
0,0,0,0.057293374,0.179149544,0,0.149692973,0.348352573,0,0.075145358,0,-0.109031208,0,0,0,0,0,0.148884277,0.12995929,0,0,0,0.039291066,0,0
0,0.134009558,0,-0.105392154,0,0.149692973,0,0.052910084,0.042035196,-0.053063229,-0.08879584,-0.093021618,0.134237151,0,-0.02591957,-0.079319342,0.067838021,0,0,0,0.090235926,0,-0.060911933,-0.091584226,-0.07675919
0.051656398,0,0.046901402,0.058246477,0.218737934,0.348352573,0.052910084,0,-0.038696253,0,0,0,0,0,0,0,0,0,0,0.02257547,0.151449888,0,0,0,0
0.144739382,0.126556287,-0.033681896,-0.268899892,0,0,0.042035196,-0.038696253,0,0.161556343,0.063806519,-0.056308002,-0.036897994,-0.039676959,0,0,0.07555306,0,0,0,0,0,0.038098371,0.157317351,0.17220115
0.209460886,-0.245271465,0,0.110220133,-0.057159255,0.075145358,-0.053063229,0,0.161556343,0,0.169717522,0,0.033806143,0.046286535,0.11171888,0,0.081589485,0,0,0.052126446,-0.12941865,0,0,0.059563205,0
0,0,-0.052301488,0,-0.193923417,0,-0.08879584,0,0.063806519,0.169717522,0,0.170437367,-0.089011837,0.021718283,0,0,0,0,0,0,0,0,-0.075324132,0,0.030805427
0.103006389,-0.059131679,0,0,0,-0.109031208,-0.093021618,0,-0.056308002,0,0.170437367,0,-0.088813538,0.05369661,0,0,0,0,0,0,0,0,0.075733614,0,0
0,0,-0.038890493,0,0.222028941,0,0.134237151,0,-0.036897994,0.033806143,-0.089011837,-0.088813538,0,0.103807685,-0.218312591,0,0,0,0,0,-0.297837539,0,0,0,0
-0.052730613,-0.052940127,0,0,0,0,0,0,-0.039676959,0.046286535,0.021718283,0.05369661,0.103807685,0,0,0,0,0,0,0,0,0,0,0,0
-0.069276766,0,-0.081268114,0,0,0,-0.02591957,0,0,0.11171888,0,0,-0.218312591,0,0,0,0,0,0,-0.040141317,-0.031628829,0,0,0,0
0,0,0,0,0,0,-0.079319342,0,0,0,0,0,0,0,0,0,0.692929426,0,0,0,0.095423807,0,0,0,0
0,-0.15618667,0,0,0,0,0.067838021,0,0.07555306,0.081589485,0,0,0,0,0,0.692929426,0,0,0,0,-0.077311212,0,0.140685316,0,0
0,0,-0.246999165,0,0.104069603,0.148884277,0,0,0,0,0,0,0,0,0,0,0,0,1.085714973,0,0,0,0.220864811,0,0
0,0,0,0,0,0.12995929,0,0,0,0,0,0,0,0,0,0,0,1.085714973,0,0,0,0,0,0,0
-0.059561455,0,0,-0.068470849,0,0,0,0.02257547,0,0.052126446,0,0,0,0,-0.040141317,0,0,0,0,0,0.167993313,0.039938981,0,0.129040408,0.072987153
0,0.045636671,0.139256892,0,0.08516513,0,0.090235926,0.151449888,0,-0.12941865,0,0,-0.297837539,0,-0.031628829,0.095423807,-0.077311212,0,0,0.167993313,0,0.336961418,-0.081105253,0,0.089806616
0,0,0,-0.040077581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039938981,0.336961418,0,0.160739667,0,0
-0.073030613,0,0.123005102,0,-0.039154601,0.039291066,-0.060911933,0,0.038098371,0,-0.075324132,0.075733614,0,0,0,0,0.140685316,0.220864811,0,0,-0.081105253,0.160739667,0,0,0
-0.099016593,0,0,0,0,0,-0.091584226,0,0.157317351,0.059563205,0,0,0,0,0,0,0,0,0,0.129040408,0,0,0,0,0.546680004
0,-0.076862587,0,0,0,0,-0.07675919,0,0.17220115,0,0.030805427,0,0,0,0,0,0,0,0,0.072987153,0.089806616,0,0,0.546680004,0
