Authoritariansm,SDO,CRT,Conspiracy,Paranoia,LOC_1,LOC2,LOC3,TIS,Alt,Agreeableness,Conscientiousness,Neuroticism,Openness,Extraversion,Ireland$MigrantAttitudes1,Ireland$MigrantAttitudes2,Ireland$C19_Infected_Binary,Ireland$C19_SomeoneClose_Infected_Binary,Ireland$Vax_Self_Binary,Ireland$�..Sex,Ireland$Occupation_Binary,Ireland$Education_Binary,Trust_Scientist,Trust_Doctor
0.830848751,-0.303986475,-0.643021258,-0.258257005,-0.706913975,0.31931229,0.897567591,-0.171338574,0.847319758,1.453902826,9,10,8,6,8,6,5,0,0,0,0,1,0,4,5
-0.035266465,0.760063416,1.503089667,0.844872061,0.503699995,0.624150242,0.983782319,0.113032277,0.769257238,-0.913626064,7,8,4,8,4,5,6,0,0,0,1,1,1,3,4
0.077529401,0.444901048,0.121682753,0.724774687,1.468690962,0.624150242,0.571422373,0.436573876,0.297075171,-0.328420998,7,7,7,7,5,6,6,0,0,0,1,1,1,4,4
0.716322328,0.423886287,-0.643021258,-0.398187166,0.612415698,1.356238805,-0.220563335,1.461009824,0.780455547,1.120280938,6,6,7,6,7,4,3,1,1,1,1,1,1,5,5
-0.777193216,-0.726202573,-0.643021258,-0.032679271,0.183559053,-0.638011997,-0.260673992,-0.970636179,-0.746756758,0.097608444,7,9,4,7,6,10,9,0,1,1,1,0,0,4,4
0.198749219,0.355584915,1.503089667,-1.400324385,-1.526192182,-0.235704418,-1.567582422,-0.509167449,1.2212501,0.54421814,10,9,6,9,4,8,10,0,0,1,0,1,1,4,4
0.108097742,-0.579298738,-0.643021258,1.350704962,-1.284239529,-0.560525428,-1.567582422,-1.215832616,0.271953797,0.092606962,9,10,3,9,10,7,6,0,0,1,0,1,1,3,5
0.975890607,0.569786844,0.444417946,-0.279863777,-0.152367336,0.31931229,1.079117271,0.113032277,0.297075171,-0.614166975,6,6,6,6,6,8,10,0,0,1,0,1,1,3,4
0.462205658,-0.389794833,0.121682753,-0.551523611,-0.285246679,0.420430535,-1.006928546,0.374677742,-0.649543524,-0.508346999,7,6,4,4,9,7,6,0,0,0,1,1,0,4,5
-1.118308555,-0.623190288,0.444417946,0.374716494,0.710500757,0.48085241,0.406697257,-0.057535876,-1.043355338,1.375335491,7,9,5,9,10,8,10,0,0,1,1,0,1,4,4
0.716322328,-0.032717541,-0.643021258,-1.182869718,-1.526192182,-0.106449807,-0.395947164,0.26027381,1.342515364,0.936048698,8,7,3,8,5,8,8,0,0,1,0,1,0,4,4
0.046243672,-0.400557369,0.252470802,0.395292187,0.002393285,0.664238512,-0.018108097,0.029407686,0.842735061,-0.492079678,7,9,6,4,7,9,7,0,0,1,1,1,1,4,5
0.018743433,-0.023393946,1.503089667,-0.708599031,-0.428111618,0.686252445,-0.220563335,-0.479665133,1.121670423,1.793033649,9,9,4,8,6,8,8,0,0,1,1,1,0,4,4
-0.36462984,-2.033919582,0.975433204,-1.111335967,0.305527169,-1.307725326,-1.307037133,-0.821463065,1.251286735,0.300504871,5,8,4,6,6,1,1,0,0,1,1,1,1,5,4
