AUTHORITARIANISM,SOCIALDOM,CRTScore3,CONSPIRACY,PARANOIA,CLOC,POLOC,ILOC,TRUSTState,ALT,Uk$Agreeableness,Uk$Conscientiousness,Uk$Neuroticism,Uk$Openness,Uk$Extraversion,Uk$MIGRANT1,Uk$MIGRANT2,Uk$COVID_Infected_Self_Binary,Uk$COVID_Infected_Rel_Binary,Uk$VAX,Uk$Sex,Uk$Employ_Binary,Uk$Education_Binary,Uk$TRUST6,Uk$TRUST7
30,28,2,31,13,12,11,12,11,32,7,7,6,7,5,10,10,0,0,1,1,1,1,4,4
39,15,0,30,6,3,15,15,15,38,6,9,3,8,6,7,7,0,0,1,1,1,1,3,3
36,30,0,30,18,14,13,9,13,32,4,8,7,5,6,7,8,0,0,0,1,1,1,2,2
26,28,0,30,15,12,12,12,15,22,5,8,6,6,6,6,6,0,0,1,1,1,1,3,3
41,24,0,30,11,13,14,11,15,27,7,8,6,4,6,7,8,0,1,1,1,1,1,4,4
45,20,2,39,15,3,15,9,5,23,7,10,2,9,10,10,6,0,0,1,1,1,1,4,4
28,30,0,29,13,13,12,12,15,27,6,7,6,6,5,6,5,0,0,1,1,1,1,3,2
24,38,0,34,13,9,13,11,14,30,4,8,7,5,5,8,7,0,0,0,1,1,1,3,4
16,21,0,50,14,4,18,8,8,26,10,9,5,7,7,5,4,0,0,1,1,1,1,4,4
22,11,0,39,7,9,12,12,17,18,10,9,7,7,7,5,1,0,0,1,1,1,1,5,5
33,34,0,52,10,17,12,15,7,39,5,10,4,10,7,5,5,0,0,0,1,1,1,4,4
24,32,1,35,5,9,15,11,18,29,8,9,4,7,6,6,5,0,0,1,1,1,1,4,5
25,21,0,32,14,12,11,14,19,36,4,6,6,5,5,7,6,0,0,1,1,1,1,5,5
20,21,1,39,16,12,12,12,15,22,8,9,4,6,4,6,3,0,0,1,1,1,1,3,4
33,13,2,30,13,9,11,10,10,30,7,6,4,2,2,5,7,0,0,0,1,1,1,3,3
20,26,3,43,15,10,12,10,11,23,7,9,2,7,6,6,4,0,0,0,1,1,1,4,4
26,32,0,33,11,11,10,11,16,33,8,10,2,6,5,2,2,0,0,1,1,1,1,4,4
29,32,0,30,13,15,11,10,8,27,6,8,7,6,3,1,1,0,0,0,1,0,1,4,4
22,27,0,40,17,15,16,11,11,27,3,6,5,6,3,7,2,0,0,0,1,1,1,3,4
26,22,2,25,12,11,15,10,16,33,6,7,5,7,6,5,4,0,0,1,1,0,1,4,4
43,42,1,51,10,12,15,7,8,23,9,9,2,5,3,8,4,0,0,1,1,1,1,3,4
24,8,0,47,5,6,15,16,11,27,9,10,3,10,10,6,6,0,0,0,1,1,1,4,5
38,21,0,26,15,9,15,13,11,32,9,10,4,4,4,7,8,0,0,1,1,1,1,4,4
47,8,3,25,12,15,15,17,12,33,4,9,10,9,6,10,10,0,0,1,1,1,1,5,5
28,32,0,30,18,12,12,11,7,27,6,7,8,5,6,3,5,0,0,1,1,1,1,2,2
27,37,1,25,7,8,15,11,18,36,8,10,6,4,4,5,3,0,0,1,1,1,1,4,4
30,32,0,35,10,12,13,12,13,39,7,7,7,4,5,3,5,0,0,0,1,1,1,1,3
28,32,0,33,23,19,12,8,8,38,6,6,6,7,3,8,7,0,1,1,1,1,1,2,1
33,14,0,40,5,8,15,11,10,19,8,7,3,10,8,5,10,0,1,1,1,1,1,4,4
24,28,1,42,20,17,7,14,9,19,2,8,9,8,4,2,1,0,0,1,1,1,1,4,4
40,18,2,47,5,13,7,10,16,42,8,9,5,6,7,8,10,0,0,1,1,1,1,5,5
30,30,0,34,11,12,12,12,9,27,6,6,7,6,6,6,7,0,0,0,1,1,1,3,3
28,25,0,34,10,11,16,10,16,36,8,8,4,5,6,4,5,0,0,0,1,1,1,4,4
31,19,3,20,7,15,15,10,12,31,8,6,9,7,4,9,8,0,0,1,1,1,1,2,1
34,26,0,30,14,13,13,11,13,23,8,9,8,6,6,5,5,0,0,0,1,1,1,4,4
36,30,0,40,16,10,16,9,10,23,7,6,5,6,8,2,2,0,0,1,1,1,1,3,3
25,32,0,55,20,7,16,9,12,36,7,10,4,7,4,7,4,0,1,1,1,1,1,4,5
28,28,1,35,11,13,13,14,15,19,6,9,3,9,7,7,7,0,0,0,1,1,1,4,4
40,11,3,38,6,13,11,11,10,39,6,4,6,9,6,10,10,0,0,1,1,1,1,4,4
23,16,1,29,11,10,16,12,13,35,9,8,6,6,5,4,3,0,0,1,1,1,1,4,4
18,21,0,39,8,13,15,11,16,27,4,9,4,8,8,8,5,0,0,1,1,1,1,3,4
30,32,1,30,15,12,12,13,12,22,7,5,7,7,5,6,6,0,0,0,1,1,1,3,4
22,26,0,30,5,6,16,9,15,14,6,9,5,6,4,6,3,1,0,0,1,1,1,4,4
27,32,0,30,15,12,14,10,11,38,7,6,6,6,6,1,1,0,0,0,1,1,1,3,5
31,18,1,32,7,8,13,13,20,42,8,10,4,6,5,8,8,0,0,1,1,1,1,4,4
29,17,0,40,18,13,11,10,17,40,9,8,6,8,6,6,4,0,0,1,1,1,1,4,4
30,25,0,34,22,19,10,9,12,40,7,5,6,7,4,8,8,0,0,1,1,1,1,3,2
25,14,0,51,12,17,14,10,14,36,6,3,6,4,2,8,8,0,0,1,1,1,1,3,4
30,30,3,25,10,15,13,11,12,22,7,5,7,5,4,4,5,0,0,1,1,1,1,3,4
30,12,0,27,5,3,15,8,22,39,7,9,7,10,10,10,10,0,0,1,1,1,1,5,5
35,8,0,17,20,13,11,10,15,23,8,6,5,7,5,7,6,0,0,1,1,1,1,5,5
32,32,0,18,13,11,14,14,19,18,6,6,6,6,6,8,9,0,1,0,1,1,1,3,3
24,40,0,38,16,7,17,9,6,15,4,10,4,7,3,5,1,0,0,0,1,1,1,2,2
21,18,0,35,14,8,14,11,15,25,7,8,5,6,6,1,1,0,0,1,1,1,1,3,3
30,28,1,35,5,10,15,10,16,25,8,8,3,7,6,7,8,0,0,1,1,1,1,4,5
36,10,1,41,5,9,14,12,12,30,7,9,4,5,6,2,2,0,0,1,1,0,1,3,4
34,24,1,44,16,12,12,12,12,25,7,5,6,7,6,9,8,0,0,1,1,1,1,4,4
26,22,0,30,15,11,13,12,11,25,5,8,6,7,6,8,8,0,0,1,1,1,1,4,5
33,16,0,48,9,12,17,10,11,16,8,6,7,6,3,10,5,0,0,1,1,0,1,5,5
30,32,3,25,11,12,12,12,7,9,5,6,6,2,2,5,4,0,0,1,1,1,1,3,3
37,30,1,41,15,14,11,13,7,16,6,7,8,5,5,3,3,0,0,1,1,1,1,2,3
18,15,1,25,5,6,19,9,20,36,9,6,4,8,5,10,10,0,0,1,1,1,1,5,4
25,49,2,40,13,11,14,12,7,22,3,10,8,8,6,7,7,0,0,1,1,1,1,4,4
28,32,3,39,14,13,14,13,12,34,4,6,6,5,5,7,8,0,0,0,1,1,1,3,4
26,15,2,30,6,9,14,11,19,36,7,7,5,8,9,8,7,0,0,1,1,1,1,4,5
29,11,0,38,11,13,11,13,11,37,8,7,2,6,6,9,9,0,0,1,1,1,1,5,5
39,17,3,34,12,11,18,9,15,21,4,5,8,5,2,7,7,0,0,1,1,0,1,4,4
30,31,0,29,21,11,11,11,10,45,8,9,8,8,5,8,8,0,1,1,1,1,1,2,2
24,29,2,49,5,3,15,11,18,27,10,7,4,6,5,7,7,0,0,1,1,1,1,3,4
37,14,2,39,6,7,14,12,15,34,5,6,7,6,3,8,8,0,0,1,0,1,1,4,4
30,32,0,40,20,21,9,9,18,39,6,6,6,6,2,10,10,0,1,1,1,1,1,3,3
35,8,2,52,8,11,16,10,14,32,8,8,3,6,3,8,10,0,0,1,1,1,1,5,5
30,32,2,30,15,12,12,12,10,27,7,6,6,5,4,5,5,0,0,0,0,1,1,2,3
30,32,0,38,8,9,18,11,21,27,8,5,5,5,3,8,5,0,0,1,1,1,1,5,5
40,20,0,30,8,12,12,12,9,26,6,7,8,7,4,10,10,0,0,0,0,1,1,3,4
25,25,0,33,22,7,18,8,8,41,6,6,6,6,6,6,6,0,0,1,0,1,1,3,3
36,8,3,34,16,13,13,10,16,37,8,10,9,7,4,9,10,0,0,1,0,1,1,5,5
43,20,1,44,5,7,19,6,7,24,6,6,6,6,6,7,7,0,0,1,1,1,1,4,4
26,28,1,34,15,10,11,14,17,31,7,7,6,7,6,6,6,0,0,0,0,1,1,4,4
30,22,1,40,16,12,12,12,10,36,7,7,6,6,5,7,8,0,0,1,0,1,1,3,4
30,28,0,42,5,8,20,5,10,35,6,7,6,6,7,6,6,0,0,1,1,1,1,3,2
36,9,2,47,11,10,17,12,7,36,8,5,9,7,7,6,6,0,0,0,0,1,1,4,5
32,14,0,55,12,11,13,11,10,19,8,7,4,6,5,9,7,0,0,0,0,1,1,3,3
30,36,0,33,21,17,11,11,13,29,6,7,10,7,4,5,5,0,0,1,0,1,1,4,4
30,28,0,38,9,15,10,11,18,34,6,7,5,5,2,10,10,0,0,1,1,1,1,5,4
43,20,0,44,5,12,12,12,15,45,6,6,6,6,6,10,10,0,1,1,0,1,1,4,4
39,23,3,33,15,12,13,14,15,16,6,6,4,8,7,8,10,0,0,1,0,0,1,3,4
16,22,0,41,13,12,10,11,10,18,4,7,6,9,8,3,4,0,0,0,0,1,1,4,2
24,29,2,21,14,11,13,17,17,26,4,3,5,8,8,6,8,0,0,0,1,1,1,3,3
29,31,1,32,16,16,8,15,18,34,7,7,9,9,6,10,9,0,0,0,1,1,1,4,3
30,28,2,38,17,13,13,12,8,25,7,7,7,6,5,5,6,0,1,1,0,1,1,4,3
33,32,2,30,21,3,15,15,16,18,6,6,6,6,2,6,6,0,0,0,1,1,1,3,3
26,20,2,30,20,11,12,8,16,29,5,10,10,5,2,4,6,1,0,1,0,1,1,5,5
26,40,2,29,19,14,10,13,13,27,5,5,7,6,4,6,6,0,0,1,1,1,1,2,3
36,32,1,31,15,14,11,12,16,26,8,5,5,5,6,7,6,0,0,1,1,1,1,3,2
29,40,2,20,20,10,13,13,14,20,6,6,6,6,6,7,8,1,0,0,1,1,1,2,2
30,34,1,40,17,14,11,10,15,30,6,6,6,5,4,1,2,1,0,1,1,1,0,3,2
31,32,0,37,17,13,15,11,12,31,8,9,6,8,7,4,2,0,0,1,1,1,1,4,5
22,33,1,28,5,9,15,4,25,40,9,8,5,4,2,10,8,0,0,1,0,0,1,5,5
19,33,3,52,24,18,9,15,5,9,3,10,4,6,4,1,1,0,0,0,1,1,1,1,1
26,38,0,36,15,12,12,8,10,36,7,6,4,6,6,7,7,0,0,1,1,1,1,4,4
20,26,1,29,15,9,12,12,15,28,6,5,6,6,7,6,5,0,0,1,1,1,1,3,3
30,32,0,30,15,12,12,12,15,18,6,6,6,6,6,5,5,0,0,1,0,1,1,3,3
30,32,0,55,12,10,18,9,5,27,8,8,6,6,6,5,5,0,0,1,0,1,1,2,2
29,28,0,35,18,18,10,14,14,31,6,6,7,8,6,8,9,0,0,1,0,1,1,2,2
29,33,1,46,14,15,13,10,9,37,7,6,7,7,5,8,8,0,0,1,1,1,1,2,2
32,29,0,30,15,15,10,10,11,36,6,8,7,8,5,9,9,0,0,0,1,1,1,3,3
32,16,3,30,17,13,11,14,10,27,5,4,8,5,4,7,5,0,0,1,1,1,1,3,4
33,26,2,38,13,14,17,14,15,35,6,8,4,7,7,5,4,1,1,0,1,1,1,4,3
45,8,3,34,7,3,17,11,9,27,10,8,5,10,10,10,10,0,0,1,1,1,1,5,4
28,38,2,36,20,15,11,10,13,32,5,6,6,5,5,9,8,0,0,0,1,1,1,3,3
30,32,0,30,15,12,12,12,16,27,6,6,6,6,6,6,6,0,1,0,1,0,1,3,3
26,30,3,29,15,12,12,12,20,26,6,6,6,6,6,6,5,0,0,0,0,1,1,5,4
29,26,0,32,14,13,11,13,16,36,7,7,5,6,7,8,8,0,0,1,1,1,1,4,5
26,38,2,37,18,6,14,10,12,27,3,10,3,6,8,8,8,0,0,1,1,1,1,4,4
